,index,id,PublicRemarks,Bathroom,Bedrooms,Sqft,Price,Type,Address,Longitude,Latitude,PostalCode
0,49,26728545,"The Eagle's Nest - Point Grey Panorama OCEAN AND CITY VIEWS on a large 73x207.4=15,140 sf lot. Renovate, or build your 10,000 sf dream home, or up to 15,140sf of Multiplex units. Current solid and very liveable 3,650sf home w/6 bedrooms plus den & 3 baths. Walk to OLPH & West Point Grey Academy, Trimble Park, Jericho Hill Community Centre & Pool, Jericho Beach, Pacific Spirit Park, West 10th Village shops, services, restaurants and transit. Queen Mary Elem., Lord Byng Sec., St. George´s & UBC all nearby. A true locational GEM awaiting your inspiration. (29597347)",3,6,3605,7680000,Single Family,"2516 COURTENAY STREET|Vancouver, British Columbia V6R3X3",-123.200762,49.264556,V6R3X3
1,48,27468031,"LUXURIOUS Brand NEW home in the well sought out Point Grey area. Close proximity to renowned private & public schools, Showcasing exceptional design with modern interiors. The main floor features 10ft ceiling of phenomenal spaces that capture natural light from all directions. Open plan with impressive living & dining areas, den, large kitchen with oversized island, wok kitchen, top of the line appliances, eating area and adjoining family room with custom entry wall unit. Sun drenched south facing garden. Upstairs floor features 11 ft vaulted ceiling, 4 bdrms & Stylish Master with large w/i closet and a spa-like ensuite. Lower level features Theatre, Wine Cellar with open bar, family room and large laundry room. Property also includes a 2 car garage and a 2 storey laneway housing unit. (30397972)",6,5,4782,7288000,Single Family,"4582 W 14TH AVENUE|Vancouver, British Columbia V6R2Y4",-123.211652,49.260366,V6R2Y4
2,47,27058996,"ABSOLUTELY GORGEOUS ESTATE!! Magnificent custom-built home in most prestigious area of Point Grey. This house features 641 sq.ft of rooftop deck that offer you panoramic views of city, mountain & water. It has been constructed to the highest of building standards, with the lavish use of the best materials and supreme finishing to details. Open concept living & dinning space with extensive used hardwood floor thru-out & large gourmet kitchen with high-end cabinetry & high-performance Miele appliances. Upper floor master bedroom offers 4 generous ensuite bedrooms. Lower level offers huge recreation room with wet bar, home theater, sauna room, nanny room& gym room. 3 car garage & decent, fenced private yard. School catchment: Lord Byng Secondary & Queen Elizabeth Elementary. Call today!!! (29955174)",7,5,4140,7288000,Single Family,"3867 W 14TH AVENUE|Vancouver, British Columbia V6R2X1",-123.190003,49.260136,V6R2X1
3,46,27656787,"Corner lot with high investment return on the high side in Point Grey area. Enjoy panoramic ocean/mountains/city views when sitting in your living room. Architecturally designed and custom built this 4,398 square foot home features 3 ensuite bedrooms and a large lower level ideal for entertaining. 3 level radiant heat, central air-conditioning & HRV. Built in 1995 this home has been impeccably maintained. Irreplaceable 60 x 122 foot lot will bode well for future appreciation. This well designed & maintained home shows like new. Near to top rank public / private schools. Vacant for showing. Call today! (30601596)",7,5,4398,6690000,Single Family,"3808 W 13TH AVENUE|Vancouver, British Columbia V6R2S8",-123.188249,49.260563,V6R2S8
4,45,27551774,"Stunning Ocean, mountain and Downtown View Home in prestigious West Point Grey! This custom built home features luxurious and exquisite details, and is crafted by top designers and engineers. Featuring designer lighting, premium Miele appliances, Italian cabinetry with marble countertops, and 9.5-inch wood flooring, every detail exudes elegance. The custom walnut office and luxurious master suite offer unparalleled sophistication. The basement is an entertainer´s dream with a guest suite, home theater, wine cellar, bar, and gym. Equipped with HRV, air conditioning, and underfloor heating, this home ensures year-round comfort. Walking distance to top-ranked WPGA and Queen Mary Elementary, close to Lord Byng Secondary, UBC, golf course and beach. 2-5-10 builder warranty remains. Must see! (30488321)",5,4,4028,6680000,Single Family,"4577 W 5TH AVENUE|Vancouver, British Columbia V6R1S6",-123.211212,49.268381,V6R1S6
5,44,27101624,"Welcome to your dream home on the prestigious Point Grey. Enjoy breathtaking views of the ocean and mountains from your master bedroom and 477 sqft roof deck. Steps away to LORD BYNG, WEST POINT GREY ACADEMY & UBC. Close to Royal Yachts Club & Jericho beach. This beautiful home offer over 4253 sq.ft.5 bedrooms and 5.5 bathrooms, is showcasing impeccably high-end finishing's thru out, QUALITY is built into every detail, over height ceiling, hand painted celing and walls & hardwood floor thru out. European kitchen, & spice kitchen, HOME THEATRE, WINE CELLAR. beautiful landscaping, HRV, A/C and much more. Must see! Open house Nov 9 Sat 2-4 Pm (30001527)",6,5,4253,6580000,Single Family,"3963 W 11TH AVENUE|Vancouver, British Columbia V6R2L1",-123.192026,49.262534,V6R2L1
6,43,27408119,"Picturesque and charming character home on coveted and beautiful Crown Crescent. Architectural design by Loy Leyland & constructed by Feature Projects. This idyllic family home with mountain, ocean and city views exudes warmth throughout, from its bright and welcoming entrance, through the dining & living rooms, to the functional open concept kitchen, casual eating area and cozy family room which spill out into meticulous gardens and outdoor patio - an entertainer's dream - your guests and family will never want to leave! 4 bedrooms & 3 bathrooms on upper floor with loft area and space for two offices on top floor. Downstairs media room, bedroom & a 1 bedroom suite. Steps to WPGA, OLPH & UBC. Don't miss this one! (30333127)",6,6,5048,6298000,Single Family,"4166 CROWN CRESCENT|Vancouver, British Columbia V6R2A9",-123.198891,49.264365,V6R2A9
7,42,27489791,"Custom built home in the prestigious Point Grey area, ideally sitting on a large flat lot in a quiet street with tasteful renovation offers all modern comforts: A/C,HRV, radiant heating, built-in vacuum, lawn sprinklers. Excellent floor plan with 4 bedrooms up and 2 bedrooms downstairs which easily convert to a rental suite with separate entrance. Spacious living, dining, family room and den on the main floor. Upgraded gourmet kitchen with high-end appliances, cabinets, granite countertops. Walking distance to the top school catchments: Lord Byng Secondary and Queen Elizabeth Elementary. Top private schools: St. George's, West Point Grey, Crofton House School all nearby. Easy access to UBC and Pacific Spirit park. Move in condition. A Must See! Open House on Nov 17(Sun) 2-4 pm. (30421149)",5,6,3673,5198000,Single Family,"4255 W 15TH AVENUE|Vancouver, British Columbia V6R3A7",-123.201786,49.259401,V6R3A7
8,41,26615655,"Rarely available 7453 sqft ( 66.25*112.50 ) flat lot on trees-lined street in prestigious Point Grey. The house was tastefully renovated over years. The 3893 sqft with 5 bedrooms 2.5 bathrooms.  Features include an island kitchen open to large deck in the backyard and large dinning room.  It is ideal for entertaining. spacious living room with view of  beautiful garden and street. Hardwood floor, bay windows and lots of characters. Lower level with high ceiling has one bedroom, recreation room and one full bathroom.  Currently tenanted at $5250 per month. Close to best public and private schools, beach, and shopping on 10 th Ave. long-term holding or build your dream home. (29474505)",3,5,3893,5070000,Single Family,"4655 W 6TH AVENUE|Vancouver, British Columbia V6R1V6",-123.213676,49.267584,V6R1V6
9,40,27070180,"PRICED BELOW THE BC ASSESSMENT VALUE OF $5,226,000! High-End Custom Built Executive Home situated in the Prestigious Point Grey neighborhood! Thoughtful attention to details by renowned Elite Premium Home Design, this S/N Exposures home captures max. natural lighting through extra large windows. Features durable metal roof, OVER-Height Ceilings in all levels, radiant heat, A/C, & Miele Appliances. Step home into the grand foyer, relax and entertain in open Living, Dining & Kitchen areas (with Wok Kitchen!) connected to backyard patios. 3 bedroom upstairs all with ensuite bathroom. Basement has a large theater room, wine cellar PLUS 2 bedroom suite with separate entrance! 3-car garage. Close to High Ranking Schools, West Point Grey Park, University Gulf Course, UBC, Spirit Park, Jericho Beach, Broadway corridor shopping, and so much more! Please call for more information. (29967305)",6,5,3709,4999000,Single Family,"4347 W 9TH AVENUE|Vancouver, British Columbia V6R2C8",-123.204408,49.264864,V6R2C8
