,index,id,PublicRemarks,Bathroom,Bedrooms,Sqft,Price,Type,Address,Longitude,Latitude,PostalCode
0,29,27620395,"EXQUISITE CUSTOM-BUILT CRAFTSMAN STYLE HOME IN THE RARELY AVAILABLE and the most EXCLUSIVE RIVERDALE NEIGHBOURHOOD. Refined design and top-tier craftsmanship, using exceptional materials, cultivates a premium home that balances comfort with sophistication. Thoughtfully designed floor plan maximizes every inch of space with epic proportions. Expansive windows and soaring ceilings bring in an abundance of NATURAL LIGHT creating a warm and inviting ambiance. Enjoy a MASSIVE PRIVATE BACKYARD adorned with cherry blossoms and fruit trees, offering a serene oasis perfect for entertaining and unwinding in tranquility. This timeless masterpiece offers both LUXURY and ENDURING QUALITY for generations to come. (30562461)",6,5,5616,5699000,Single Family,"4191 WESTMINSTER HIGHWAY|Richmond, British Columbia V7C1B3",-123.178988,49.17023,V7C1B3
1,28,27394653,"Exceptional luxury estate residence situated on a private 8359sf property. This stunning French Chateau style residence offers high standard of craftsmanship and exceptional materials. Greeted by stunning two-storey foyer that leads to the grand living and dining area for intimate gatherings or large-scale entertaining. Spacious high-ceiling paneled family room, fully equipped gourmet kitchen, Wok kitchen, large office/den, 5 bedrooms with ensuites, full sized floor to ceiling French doors open to incredible private garden. Exquisite neighbourhood, close to parks, shopping mall, Burnett Secondary, James Thompson Elementary, Spul'u'Kwuks Elementary. (30318338)",6,5,3757,3999000,Single Family,"6191 RIVERDALE DRIVE|Richmond, British Columbia V7C2E7",-123.17528,49.168408,V7C2E7
2,27,27515328,"Proudly introduce this luxury house located in the famous Riverdale RI. Features 4078 sqft living area with very open space layout, high ceiling in foyer/living/family room. Elegant tile flooring throughout, large space media room, Kitchen with top-line appliances & cabinetry & island & wok kitchen. Upstairs ensuites master bdrm with sauna & balconies. 3-car garage + open available parking spaces. Beautiful landscaped backyard, good for entertaining. Close to golf club, Thompson Community Center, shopping mall. 5-minute drive to the Richmond Public Library and the Central Mall. Walking distance to schools. School catchments: Thomson Elementary & Burnett Sec. Has legal B&B license.Open House Nov 16(2-4)PM Saturday (30448928)",6,5,4078,3828000,Single Family,"6380 NO.1 ROAD|Richmond, British Columbia V7C1T3",-123.180683,49.166686,V7C1T3
3,26,27619562,"This exquisite property offers a unique blend of luxury & versatility. Boasting 8 bedrooms & 10 bathrooms, this home features three separate dwellings, ideal for multi-generational living or income-generating investment. Upon entering, you will be greeted by a beautifully designed open concept living & dining area, perfect for both entertaining & intimate family gatherings. The gourmet kitchen, equipped with ample counter space, flows effortlessly into a charming patio-perfect for al fresco dining. A large flex space provides endless possibilities. Outdoor living is a dream at this property, with an expansive pool deck featuring a private pool, offering the perfect setting for summertime relaxation. Additional features include a recreation room, workshop, laundry room, garage, & carport. (30561430)",10,8,5008,3188000,Single Family,"4460 WESTMINSTER HIGHWAY|Richmond, British Columbia V7C1B5",-123.175932,49.170018,V7C1B5
4,25,27599816,"Exceptionally rare 21,000+ sqft lot featuring a stunning 7,000 sqft luxury mansion in the desirable Riverdale area. Showcasing top-quality craftsmanship, this home combines elegance with a functional layout. The grand living room boasts soaring ceilings and expansive windows, filling the space with natural light. The upper level offers five large bedrooms and a media room, while the main level includes a guest suite and a dedicated office. Open concept kitchen with a wok kitchen is outfitted with granite countertops, stainless steel appliances, and ample cabinetry. Radiant heating system, AC, and security system. Indoor swimming pool and a private tennis court. Thompson Elementary & Burnett Secondary. (30540321)",7,6,7107,2990000,Single Family,"5851 GIBBONS DRIVE|Richmond, British Columbia V7C2C6",-123.178154,49.171572,V7C2C6
5,24,26924419,"VIEW, view, view, unobstructed view of the river and mountain, waterfront property, steps away from the riverside seawalk where you can enjoy a leisure walk, spacious layout with mortgage helper basement suite. Huge backyard, enjoy sunrise and sunset every day. Very livable house, hold and build later. (29809913)",4,5,2697,2980000,Single Family,"4140 RIVER ROAD|Richmond, British Columbia V7C1A2",-123.1794,49.173617,V7C1A2
6,23,27656784,"Nestled in the highly sought-after Terra Nova Neighbourhood, this spacious 5-bedroom home with a good-sized office offers the perfect balance of comfort and convenience.  Ideal for families, it's just a short stroll to a top-rated elementary school, making school runs a breeze.  Step inside to discover newer kitchen and flooring on the main floor, blending modern style with timeless functionality.  The bright, open layout is perfect for entertaining, while the office provides a quiet retreat for work or study.  The serene river view from the master bedroom corner window adds a touch of tranquility to your private oasis.  Golf entusiasts will love the proximity to a nearby golf course, while nature lovers can enjoy the beauty and outdoor activities the area offers. (30601574)",4,5,3533,2850000,Single Family,"3540 CORNWALL COURT|Richmond, British Columbia V7C5M7",-123.184402,49.173489,V7C5M7
7,22,27114465,"This Beauty sits in the most desirable Terra Nova Area. Very Rare big lot that has  7,105 sf with 3,085 sq living area. North exposure. Functional layout. Grand stairs, skylight, chandeliers on open high foyer & living room. Spacious 3 bdrms upstairs with huge size for each bedroom. Bright with lots of natural lights. Radiant heat on both levels. Custom built 3 bedroom home by Summer field, interior by Martina Design. Extremely well kept and maintained home with air conditioning, built-in sound system, gourmet kitchen, Japanese garden, steam shower.  Renovated in year 2016.  Minutes Walk to schools of Spul'u'kwuk elementary and.Bennett secondary, close to Terra Nova Shopping mall, park, Quilchena Golf & Country Club, dyke. Open house Sunday Nov 17 (2-4PM) (30015045)",3,3,3085,2690000,Single Family,"5526 CORNWALL DRIVE|Richmond, British Columbia V7C5M8",-123.185258,49.172476,V7C5M8
8,21,27325734,"Custom built home located in desirable area Terra Nova , Richmond. Very well kept. High ceiling at the foyer and living room. Well maintained home features 5 bdrms & 4.5 baths in very good condition.  4 bedrooms and 3 bathrooms above, 1 bedroom with full bathroom on main. Spacious recently renovated kitchen with wok kitchen and appliances .  Landscaping with in ground sprinkler system.  School catchment: Spul'u'Kwuks Elem & J .N. Burnett Secondary .  Steps to Terra Nova shopping mall, park , Quilchena Golf club, Save-on-food supermarket , restaurants and some retailers. (30243610)",5,5,2756,2680000,Single Family,"6280 DUNSMUIR CRESCENT|Richmond, British Columbia V7C5R6",-123.185962,49.166408,V7C5R6
9,20,26828540,"Rarely available over 10,000 square ft rectangular lot (67 x 150) in much sought after Gibbons Drive in the Prestigious Riverdale Area .This lovely neighbourhood has many multi million dollar homes, and just steps away from the serene and scenic River Road and North Dyke Trail. No easement on property as per title. Home has been lovingly cared for and never been in the market before. Hold on as investment or build your dream home. School Catchment - Thompson Elementary and Burnett Secondary. 5 mins Drive to Quilchena Golf and Country Club, Terra Nova Nature Park, Olympic Oval, Richmond Center, Canada Line and easy access to airport and downtown Vancouver. (29706046)",2,3,1673,2599000,Single Family,"5900 GIBBONS DRIVE|Richmond, British Columbia V7C2C7",-123.17784,49.170933,V7C2C7
